player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,average,percentage
Misbah-ul-Haq,Batter,4752,7.256.069.628.950.980,6549,0,30,24,469,469,0,227,242,7,Pakistan,0,"420,34%"
DA Miller,Batter,4466,1.005.629.362.756.130,4441,0,0,0,470,470,0,290,180,4,South Africa,0,"500,62%"
ST Jayasuriya,Batter,4402,9.213.059.857.681.030,4778,105,3194,4004,510,510,0,237,273,14,Sri Lanka,41.923.809.523.809.500,"478,84%"
AC Gilchrist,Batter,4355,1.022.300.469.483.560,4260,0,0,0,538,538,0,376,162,13,Australia,0,"504,81%"
JJ Roy,Batter,4237,10.293.974.732.750.200,4116,0,0,0,519,519,0,295,224,12,England,0,"506,52%"
MN Samuels,Batter,4205,7.437.212.592.854.610,5654,66,2952,3692,426,426,0,165,261,12,West Indies,6.371.212.121.212.120,"426,12%"
KP Pietersen,Batter,4202,8.420.841.683.366.730,4990,8,368,403,518,518,0,295,223,9,England,525.25,"456,64%"
PD Collingwood,Batter,4132,7.516.827.360.378.380,5497,96,3444,4250,518,518,0,295,223,10,England,43.041.666.666.666.600,"428,76%"
TWM Latham,Batter,4019,833.990.454.451.131,4819,0,0,0,439,439,0,228,211,8,New Zealand,0,"454,43%"
L Wolvaardt,Batter,3992,7.120.941.848.019.970,5606,0,0,0,471,471,0,290,181,6,South Africa,0,"415,79%"
H Masakadza,Batter,3955,7.004.959.263.195.180,5646,22,1174,1249,277,277,0,66,211,3,Zimbabwe,17.977.272.727.272.700,"411,72%"
ML Hayden,Batter,3939,7.947.941.888.619.850,4956,0,0,0,540,540,0,378,162,5,Australia,0,"442,34%"
TT Beaumont,Batter,3936,7.465.857.359.635.810,5272,0,0,0,513,513,0,292,221,10,England,0,"427,18%"
BKG Mendis,Batter,3838,8.500.553.709.856.030,4515,0,28,20,512,512,0,237,275,6,Sri Lanka,0,"459,09%"
S Chanderpaul,Batter,3804,6.786.797.502.230.150,5605,0,20,26,424,424,0,164,260,7,West Indies,0,"403,91%"
HH Gibbs,Batter,3766,8.493.459.630.130.800,4434,0,0,0,466,466,0,286,180,9,South Africa,0,"458,88%"
AJ Strauss,Batter,3729,7.880.388.841.927.300,4732,0,3,6,518,518,0,295,223,7,England,0,"440,42%"
RR Sarwan,Batter,3717,7.227.299.241.687.730,5143,16,393,383,427,427,0,165,262,6,West Indies,2.323.125,"419,01%"
JM Bairstow,Batter,3671,9.970.124.932.102.110,3682,0,0,0,516,516,0,294,222,11,England,0,"498,84%"
LD Chandimal,Batter,3657,7.210.173.501.577.280,5072,0,0,0,508,508,0,236,272,6,Sri Lanka,0,"418,42%"
GJ Maxwell,Batter,3655,12.058.726.492.906.600,3031,78,3441,3812,544,544,0,381,163,11,Australia,4.685.897.435.897.430,"546,26%"
R Dravid,Batter,3650,7.110.851.353.984.020,5133,0,0,0,573,573,0,356,217,5,India,0,"415,06%"
MM Lanning,Batter,3555,8.920.953.575.909.660,3985,1,44,45,527,527,0,367,160,11,Australia,3555,"470,80%"
S Mandhana,Batter,3526,8.799.600.698.777.140,4007,1,36,24,578,578,0,359,219,11,India,3526,"467,52%"
Fakhar Zaman,Batter,3434,9.228.701.961.838.210,3721,1,112,135,461,461,0,222,239,9,Pakistan,3434,"478,87%"
EA Perry,Batter,3356,7.822.843.822.843.820,4290,83,2352,3198,533,533,0,372,161,16,Australia,40.433.734.939.759.000,"438,52%"
PR Stirling,Batter,3338,8.534.901.559.703.400,3911,26,1227,1485,164,164,0,60,104,7,Ireland,1.283.846.153.846.150,"460,10%"
E Chigumbura,Batter,3266,7.711.924.439.197.160,4235,88,3551,3753,277,277,0,66,211,6,Zimbabwe,3.711.363.636.363.630,"435,06%"
SW Bates,Batter,3245,7.585.320.243.104.250,4278,25,1098,1326,433,433,0,225,208,6,New Zealand,129.8,"430,94%"
AN Cook,Batter,3204,7.560.169.891.458.230,4238,0,0,0,517,517,0,295,222,7,England,0,"430,41%"
HDRL Thirimanne,Batter,3164,711.971.197.119.712,4444,3,94,107,506,506,0,236,270,2,Sri Lanka,10.546.666.666.666.600,"415,44%"
HC Knight,Batter,3158,7.510.107.015.457.780,4205,48,1020,1392,507,507,0,291,216,8,England,6.579.166.666.666.660,"428,61%"
MDKJ Perera,Batter,3077,9.117.037.037.037.030,3375,0,0,0,512,512,0,237,275,5,Sri Lanka,0,"476,46%"
Umar Akmal,Batter,3032,8.361.831.218.974.070,3626,0,0,0,467,467,0,226,241,6,Pakistan,0,"455,12%"
GJ Bailey,Batter,3011,8.199.891.067.538.120,3672,0,0,0,544,544,0,381,163,4,Australia,0,"450,34%"
DM Bravo,Batter,3007,6.719.553.072.625.690,4475,0,0,0,427,427,0,165,262,3,West Indies,0,"401,74%"
BJ Haddin,Batter,3003,8.231.907.894.736.840,3648,0,0,0,545,545,0,381,164,3,Australia,0,"451,10%"
M Raj,Batter,2949,6.826.388.888.888.880,4320,0,0,0,564,564,0,349,215,6,India,0,"405,42%"
AM Rahane,Batter,2906,7.623.294.858.342.070,3812,0,0,0,571,571,0,354,217,5,India,0,"432,25%"
AE Satterthwaite,Batter,2895,8.001.658.374.792.700,3618,29,839,1060,433,433,0,225,208,5,New Zealand,9.982.758.620.689.650,"444,29%"
Imam-ul-Haq,Batter,2840,8.132.875.143.184.420,3492,0,0,0,451,451,0,220,231,3,Pakistan,0,"448,30%"
T Taibu,Batter,2837,6.695.775.312.721.260,4237,0,20,25,275,275,0,66,209,3,Zimbabwe,0,"400,88%"
IJL Trott,Batter,2819,7.553.590.568.060.020,3732,3,174,185,505,505,0,289,216,3,England,9.396.666.666.666.660,"429,79%"
SFM Devine,Batter,2796,8.753.913.587.977.450,3194,55,1914,2489,433,433,0,225,208,8,New Zealand,50.836.363.636.363.600,"466,62%"
Mohammad Yousuf,Batter,2783,743.918.738.305.266,3741,1,0,1,458,458,0,221,237,2,Pakistan,2783,"426,19%"
CR Ervine,Batter,2770,7.628.752.409.804.460,3631,0,0,0,277,277,0,66,211,6,Zimbabwe,0,"432,20%"
MR Marsh,Batter,2762,935.320.013.545.547,2953,57,2047,2257,543,543,0,381,162,8,Australia,4.845.614.035.087.710,"482,95%"
KL Rahul,Batter,2761,8.636.221.457.616.510,3197,0,0,0,580,580,0,360,220,4,India,0,"462,71%"
DJ Bravo,Batter,2760,7.872.219.053.051.910,3506,193,5330,6052,427,427,0,165,262,9,West Indies,14.300.518.134.715.000,"439,91%"
AC Jayangani,Batter,2760,7.798.813.224.074.590,3539,34,1295,1421,497,497,0,231,266,8,Sri Lanka,8.117.647.058.823.520,"437,61%"
AJ Healy,Batter,2759,9.523.645.150.155.330,2897,0,0,0,533,533,0,372,161,8,Australia,0,"487,46%"
Kamran Akmal,Batter,2746,8.138.707.765.263.780,3374,0,0,0,469,469,0,227,242,4,Pakistan,0,"448,33%"
RS Bopara,Batter,2689,7.639.204.545.454.540,3520,41,1546,1858,509,509,0,291,218,5,England,6.558.536.585.365.850,"432,73%"
WTS Porterfield,Batter,2670,673.902.069.661.787,3962,0,0,0,164,164,0,60,104,5,Ireland,0,"402,17%"
TM Head,Batter,2645,10.220.247.295.208.600,2588,25,1062,1117,543,543,0,381,162,7,Australia,105.8,"505,06%"
SE Marsh,Batter,2622,7.902.350.813.743.210,3318,0,0,0,545,545,0,381,164,4,Australia,0,"441,27%"
MV Boucher,Batter,2617,883.823.032.759.203,2961,0,0,0,466,466,0,286,180,2,South Africa,0,"468,83%"
KA Pollard,Batter,2608,9.064.998.262.078.550,2877,59,2086,2226,429,429,0,165,264,4,West Indies,4.420.338.983.050.840,"474,96%"
Ahmed Shehzad,Batter,2555,7.052.166.712.669.050,3623,2,140,116,466,466,0,225,241,6,Pakistan,1277.5,"413,16%"
L Lee,Batter,2516,8.265.440.210.249.670,3044,2,56,86,471,471,0,290,181,6,South Africa,1258,"452,19%"
A Balbirnie,Batter,2438,7.421.613.394.216.130,3285,1,31,24,163,163,0,59,104,4,Ireland,2438,"425,70%"
BL Mooney,Batter,2433,8.471.448.467.966.570,2872,0,0,0,533,533,0,372,161,4,Australia,0,"458,19%"
SC Ganguly,Batter,2409,7.025.371.828.521.430,3429,22,864,1015,573,573,0,356,217,5,India,109.5,"412,36%"
SS Iyer,Batter,2396,9.803.600.654.664.480,2444,0,39,39,576,576,0,357,219,4,India,0,"494,73%"
HE van der Dussen,Batter,2388,8.510.334.996.436.200,2806,1,3,6,472,472,0,291,181,3,South Africa,2388,"459,32%"
AD Hales,Batter,2330,9.383.809.907.370.110,2483,0,0,0,515,515,0,294,221,5,England,0,"483,70%"
Shubman Gill,Batter,2328,9.902.169.289.663.970,2351,0,25,18,560,560,0,347,213,4,India,0,"496,59%"
Abdul Razzaq,Batter,2327,8.653.774.637.411.670,2689,110,3694,4518,464,464,0,224,240,9,Pakistan,21.154.545.454.545.400,"462,99%"
HK Matthews,Batter,2327,7.516.149.870.801.030,3096,83,2210,3025,428,428,0,165,263,10,West Indies,2.803.614.457.831.320,"428,78%"
RD Berrington,Batter,2292,7.436.729.396.495.780,3082,15,647,762,101,101,0,54,47,4,Scotland,152.8,"426,10%"
Sarfraz Ahmed,Batter,2289,856.341.189.674.523,2673,0,15,12,467,467,0,226,241,5,Pakistan,0,"461,03%"
KJ Coetzer,Batter,2280,8.067.940.552.016.980,2826,1,132,169,101,101,0,54,47,3,Scotland,2280,"446,10%"
MM Ali,Batter,2278,9.421.009.098.428.450,2418,119,5303,5935,519,519,0,295,224,5,England,19.142.857.142.857.100,"484,99%"
Mohammad Rizwan,Batter,2254,8.736.434.108.527.130,2580,0,0,0,462,462,0,223,239,1,Pakistan,0,"465,89%"
Imrul Kayes,Batter,2242,686.046.511.627.907,3268,0,0,0,345,345,0,134,211,4,Bangladesh,0,"406,53%"
DR Martyn,Batter,2239,753.872.053.872.054,2970,1,78,90,540,540,0,378,162,5,Australia,2239,"429,26%"
M du Preez,Batter,2223,6.959.924.859.110.830,3194,1,22,18,471,471,0,290,181,7,South Africa,2223,"409,77%"
M Kapp,Batter,2195,8.530.897.784.687.130,2573,133,3154,4729,471,471,0,290,181,8,South Africa,1.650.375.939.849.620,"459,88%"
Salman Butt,Batter,2186,7.455.661.664.392.900,2932,0,90,72,469,469,0,227,242,5,Pakistan,0,"426,79%"
Liton Das,Batter,2178,843.205.574.912.892,2583,0,0,0,336,336,0,132,204,4,Bangladesh,0,"456,99%"
JO Holder,Batter,2144,8.819.415.878.239.400,2431,162,5712,6205,429,429,0,165,264,5,West Indies,13.234.567.901.234.500,"468,12%"
SP Fleming,Batter,2133,7.025.691.699.604.740,3036,0,0,0,441,441,0,229,212,5,New Zealand,0,"412,49%"
V Sibanda,Batter,2125,6.129.218.344.389.960,3467,4,267,276,276,276,0,66,210,2,Zimbabwe,531.25,"379,87%"
HM Nicholls,Batter,2116,789.846.957.820.082,2679,0,0,0,437,437,0,227,210,2,New Zealand,0,"440,47%"
A Flintoff,Batter,2096,8.858.833.474.218.080,2366,132,2682,3784,509,509,0,291,218,9,England,15.878.787.878.787.800,"469,43%"
S Luus,Batter,2080,652.856.246.076.585,3186,84,2006,2630,471,471,0,290,181,3,South Africa,24.761.904.761.904.700,"394,91%"
D Ramdin,Batter,2072,7.860.394.537.177.540,2636,0,0,0,426,426,0,165,261,1,West Indies,0,"439,73%"
AE Jones,Batter,2071,8.350.806.451.612.900,2480,0,0,0,513,513,0,292,221,4,England,0,"454,77%"
CL White,Batter,2053,794.812.233.836.624,2583,11,331,318,539,539,0,377,162,3,Australia,18.663.636.363.636.300,"442,36%"
Soumya Sarkar,Batter,2044,9.529.137.529.137.520,2145,20,545,543,336,336,0,132,204,5,Bangladesh,102.2,"487,36%"
CS MacLeod,Batter,2015,7.840.466.926.070.030,2570,8,635,774,101,101,0,54,47,5,Scotland,251.875,"439,09%"
ME Trescothick,Batter,1997,805.241.935.483.871,2480,2,149,155,518,518,0,295,223,4,England,998.5,"445,66%"
KJ O'Brien,Batter,1990,9.251.510.925.151.090,2151,60,2221,2392,164,164,0,60,104,4,Ireland,33.166.666.666.666.600,"480,44%"
CJ Chibhabha,Batter,1987,6.348.242.811.501.590,3130,30,1379,1417,275,275,0,66,209,1,Zimbabwe,6.623.333.333.333.330,"388,16%"
AT Carey,Batter,1978,8.763.845.813.026.140,2257,0,0,0,543,543,0,381,162,2,Australia,0,"466,73%"
MS Atapattu,Batter,1978,6.682.432.432.432.430,2960,0,0,0,509,509,0,236,273,3,Sri Lanka,0,"400,00%"
H Klaasen,Batter,1977,1.150.087.260.034.900,1719,0,33,30,469,469,0,289,180,7,South Africa,0,"534,18%"
RL Haynes,Batter,1966,7.911.468.812.877.260,2485,2,34,24,527,527,0,367,160,5,Australia,983,"441,50%"
LMP Simmons,Batter,1958,714.337.832.907.698,2741,1,172,163,426,426,0,165,261,2,West Indies,1958,"416,51%"
Bismah Maroof,Batter,1938,6.327.130.264.446.620,3063,12,498,666,459,459,0,221,238,2,Pakistan,161.5,"387,29%"
Inzamam-ul-Haq,Batter,1916,7.719.580.983.078.160,2482,0,0,0,464,464,0,224,240,3,Pakistan,0,"435,26%"
E Lewis,Batter,1903,8.575.935.105.903.560,2219,0,0,0,429,429,0,165,264,4,West Indies,0,"461,56%"
BC Lara,Batter,1878,7.649.694.501.018.330,2455,0,0,0,424,424,0,164,260,1,West Indies,0,"433,12%"
AC Kerr,Batter,1854,7.496.967.246.259.600,2473,97,2891,3719,433,433,0,225,208,3,New Zealand,1.911.340.206.185.560,"427,98%"
DJG Sammy,Batter,1853,962.097.611.630.322,1926,87,3842,4891,427,427,0,165,262,5,West Indies,21.298.850.574.712.600,"489,69%"
EC Joyce,Batter,1845,6.920.480.120.030.000,2666,0,0,0,164,164,0,60,104,5,Ireland,0,"408,82%"
V Aravind,Batter,1843,672.382.342.210.872,2741,0,0,0,99,99,0,34,65,2,United Arab Emirates,0,"401,96%"
N Pooran,Batter,1829,956.089.911.134.344,1913,6,174,178,429,429,0,165,264,1,West Indies,3.048.333.333.333.330,"488,38%"
KIC Asalanka,Batter,1810,8.660.287.081.339.710,2090,16,388,486,495,495,0,230,265,3,Sri Lanka,113.125,"463,86%"
P Nissanka,Batter,1810,8.410.780.669.144.980,2152,0,0,0,495,495,0,230,265,2,Sri Lanka,0,"456,26%"
MG Erasmus,Batter,1810,7.842.287.694.974.000,2308,34,921,1286,55,55,0,26,29,5,Namibia,5.323.529.411.764.700,"439,43%"
Azhar Ali,Batter,1806,7.288.135.593.220.330,2478,4,262,264,468,468,0,227,241,1,Pakistan,451.5,"421,27%"
MS Wade,Batter,1792,8.050.314.465.408.800,2226,0,0,0,535,535,0,374,161,3,Australia,0,"445,33%"
MD Patel,Batter,1792,8.003.573.023.671.280,2239,0,0,0,64,64,0,30,34,6,United States of America,0,"444,44%"
A Vala,Batter,1783,687.355.435.620.663,2594,47,1320,2017,63,63,0,12,51,1,Papua New Guinea,3.793.617.021.276.590,"407,17%"
M Labuschagne,Batter,1764,828.169.014.084.507,2130,6,284,254,543,543,0,381,162,2,Australia,294,"452,54%"
HH Pandya,Batter,1762,10.770.171.149.144.200,1636,81,2919,3218,572,572,0,355,217,4,India,21.753.086.419.753.000,"517,93%"
Yousuf Youhana,Batter,1740,7.880.434.782.608.690,2208,0,1,1,464,464,0,224,240,4,Pakistan,0,"440,51%"
Haris Sohail,Batter,1709,8.502.487.562.189.050,2010,13,593,613,468,468,0,227,241,2,Pakistan,13.146.153.846.153.800,"459,29%"
NJ O'Brien,Batter,1692,7.067.669.172.932.330,2394,0,0,0,161,161,0,57,104,2,Ireland,0,"413,69%"
MP O'Dowd,Batter,1682,6.890.618.598.934.860,2441,1,129,127,90,90,0,29,61,4,Netherlands,1682,"407,56%"
DN Wyatt,Batter,1680,9.076.175.040.518.630,1851,14,447,537,513,513,0,292,221,4,England,120,"475,25%"
DJS Dottin,Batter,1679,8.111.111.111.111.110,2070,53,1209,1496,428,428,0,165,263,4,West Indies,3.167.924.528.301.880,"447,73%"
HG Munsey,Batter,1675,8.515.505.846.466.700,1967,0,0,0,101,101,0,54,47,1,Scotland,0,"459,53%"
MH Cross,Batter,1675,679.788.961.038.961,2464,0,0,0,101,101,0,54,47,3,Scotland,0,"404,59%"
DJ Hussey,Batter,1672,8.744.769.874.476.980,1912,19,694,791,545,545,0,381,164,1,Australia,88,"465,74%"
SJ Taylor,Batter,1651,8.545.548.654.244.300,1932,0,0,0,507,507,0,291,216,6,England,0,"460,40%"
AT Rayudu,Batter,1637,7.638.824.078.394.770,2143,3,128,124,575,575,0,356,219,3,India,5.456.666.666.666.660,"432,50%"
RK Paudel,Batter,1629,7.324.640.287.769.780,2224,10,238,346,65,65,0,33,32,5,Nepal,162.9,"422,68%"
KD Karthik,Batter,1624,7.138.461.538.461.530,2275,0,0,0,569,569,0,352,217,1,India,0,"416,52%"
HT Tector,Batter,1622,8.399.792.853.443.810,1931,2,149,148,163,163,0,59,104,0,Ireland,811,"456,52%"
DJ Mitchell,Batter,1616,9.659.294.680.215.180,1673,13,293,315,431,431,0,224,207,0,New Zealand,1.243.076.923.076.920,"491,19%"
N Dickwella,Batter,1604,912.400.455.062.571,1758,0,0,0,512,512,0,237,275,1,Sri Lanka,0,"476,39%"
Sidra Ameen,Batter,1595,6.304.347.826.086.950,2530,0,0,0,459,459,0,221,238,5,Pakistan,0,"386,48%"
MD Gunathilaka,Batter,1592,8.383.359.662.980.510,1899,8,375,405,507,507,0,236,271,2,Sri Lanka,199,"455,77%"
OA Shah,Batter,1579,804.381.049.414.162,1963,7,184,199,502,502,0,287,215,2,England,22.557.142.857.142.800,"445,16%"
NJ Astle,Batter,1571,7.560.153.994.225.210,2078,8,346,404,434,434,0,225,209,5,New Zealand,196.375,"430,29%"
T Bavuma,Batter,1548,8.726.042.841.037.200,1774,0,22,37,443,443,0,272,171,2,South Africa,0,"465,56%"
J Charles,Batter,1544,8.391.304.347.826.080,1840,0,12,7,430,430,0,166,264,3,West Indies,0,"455,86%"
UT Khawaja,Batter,1539,825.201.072.386.059,1865,0,0,0,542,542,0,380,162,3,Australia,0,"451,98%"
JDS Neesham,Batter,1508,9.804.941.482.444.730,1538,71,2573,2512,439,439,0,228,211,1,New Zealand,21.239.436.619.718.300,"494,91%"
CK Kapugedera,Batter,1505,6.977.283.263.792.300,2157,2,226,271,510,510,0,237,273,1,Sri Lanka,752.5,"410,64%"
SA Edwards,Batter,1504,9.065.702.230.259.190,1659,0,0,0,90,90,0,29,61,3,Netherlands,0,"475,35%"
MP Stoinis,Batter,1489,9.180.024.660.912.450,1622,48,2067,2073,543,543,0,381,162,1,Australia,31.020.833.333.333.300,"478,01%"
Yasir Hameed,Batter,1459,6.557.303.370.786.510,2225,0,0,0,464,464,0,224,240,4,Pakistan,0,"395,39%"
NE Bolton,Batter,1443,6.974.383.760.270.660,2069,2,37,30,516,516,0,360,156,6,Australia,721.5,"410,41%"
CL Tryon,Batter,1440,10.714.285.714.285.700,1344,40,1445,1914,464,464,0,285,179,4,South Africa,36,"516,68%"
PG Raut,Batter,1436,611.063.829.787.234,2350,0,0,0,578,578,0,359,219,3,India,0,"378,79%"
WA Young,Batter,1426,8.616.314.199.395.770,1655,0,0,0,416,416,0,219,197,5,New Zealand,0,"462,09%"
Aasif Sheikh,Batter,1423,7.323.726.196.603.190,1943,0,0,0,65,65,0,33,32,5,Nepal,0,"422,26%"
DJ Malan,Batter,1418,9.428.191.489.361.700,1504,1,17,15,519,519,0,295,224,4,England,1418,"484,79%"
Nasir Jamshed,Batter,1418,7.343.345.416.882.440,1931,0,0,0,466,466,0,225,241,3,Pakistan,0,"423,03%"
T Chetty,Batter,1414,685.077.519.379.845,2064,0,0,0,471,471,0,290,181,3,South Africa,0,"406,09%"
SO Hetmyer,Batter,1410,10.561.797.752.808.900,1335,0,0,0,429,429,0,165,264,4,West Indies,0,"513,29%"
Javeria Khan,Batter,1408,6.151.157.710.790.730,2289,8,271,299,463,463,0,223,240,2,Pakistan,176,"380,54%"
ML Green,Batter,1407,6.770.933.589.990.370,2078,0,81,79,433,433,0,225,208,3,New Zealand,0,"403,04%"
WIA Fernando,Batter,1404,8.493.647.912.885.660,1653,0,0,0,511,511,0,237,274,6,Sri Lanka,0,"458,67%"
Rohan Mustafa,Batter,1401,6.196.373.286.156.560,2261,87,2654,3508,99,99,0,34,65,4,United Arab Emirates,16.103.448.275.862.000,"382,37%"
Waseem Muhammad,Batter,1398,8.587.223.587.223.580,1628,0,96,75,99,99,0,34,65,2,United Arab Emirates,0,"461,84%"
L Ronchi,Batter,1397,11.257.050.765.511.600,1241,0,0,0,439,439,0,228,211,1,New Zealand,0,"529,17%"
MP Vaughan,Batter,1382,6.525.023.607.176.580,2118,9,429,522,509,509,0,291,218,2,England,15.355.555.555.555.500,"394,63%"
Jatinder Singh,Batter,1356,7.136.842.105.263.150,1900,1,37,43,52,52,0,27,25,2,Oman,1356,"416,21%"
GH Lewis,Batter,1348,6.598.139.990.210.470,2043,8,373,390,162,162,0,58,104,2,Ireland,168.5,"397,29%"
JR Hopes,Batter,1326,9.233.983.286.908.070,1436,73,2414,3132,545,545,0,381,164,2,Australia,18.164.383.561.643.800,"479,74%"
Anamul Haque,Batter,1322,7.406.162.464.985.990,1785,0,0,0,342,342,0,134,208,2,Bangladesh,0,"425,08%"
KM Jadhav,Batter,1318,10.084.162.203.519.500,1307,28,1005,1173,576,576,0,357,219,3,India,4.707.142.857.142.850,"501,90%"
M Kaif,Batter,1314,6.372.453.928.225.020,2062,0,0,0,570,570,0,353,217,1,India,0,"389,22%"
Asad Shafiq,Batter,1312,6.606.243.705.941.590,1986,0,18,12,460,460,0,222,238,0,Pakistan,0,"397,82%"
S Matsikenyeri,Batter,1309,6.651.422.764.227.640,1968,15,563,687,266,266,0,64,202,0,Zimbabwe,8.726.666.666.666.660,"399,09%"
MA Leask,Batter,1306,11.133.844.842.284.700,1173,64,1789,2184,101,101,0,54,47,3,Scotland,2.040.625,"525,98%"
BA King,Batter,1306,8.286.802.030.456.850,1576,0,0,0,430,430,0,166,264,4,West Indies,0,"451,75%"
